RFID,Site,Notes
0700ED9F8E,H,formerly S; Banded as Chick from 22B 2013
030002D9C7,H,not molting; juve
0700EDC401,H,originally banded 2013 F3H
0700EDDDC8,H,originally banded 2013 F2H
030001CC84,H,originally banded 2013 F1H;molting primaries; secondaries; Detected at LOW and HIGH F2014/W15
0700EDE474,H,adult
0700EDBED1,H,formerly S; Banded as chick from box 33 2014;juve
0700EDE211,H,formerly S; Banded as Chick 2013 Box 44
0700EE1FB2,H,adult
0700EDB889,H,juve
0700EE3EF6,H,originally banded on 11/30/13 at F4H
0700EE0380,H,adult; was badly tangled; Detected LOW and HIGH F2014/W15
0700EDBD06,H,Trapped on 11/30/13 at F4H; Not brought into lab
0700ED9AAB,H,Formerly R;LB
0700EE0A3B,H,no molt; juve
0700EE0514,H,originally banded on 11/30/13 at F4H 
0700EE1A2B,H,adult; was badly tangled
0700EE26F2,H,adult
0700EE2D20,H,adult
0700EDFED4,H,Detected at LOW and HIGH F2014/W15
030001F885,H,S banded 2013 F1H;DUPLICATE COLOR CODE; Detected at LOW and HIGH F2014/W15
0700EDA35E,H,adult F
0300025F50,H,Detected at LOW and HIGH F2014/W15
0700ED9EEE,H,pair with RED PT; LB/LB at time of first capture; acted strange and limp but flew well; Detected LOW and HIGH F2014/W15
03000208C0,H,pair with RED PT; LG/LG at time of first capture; took 5 min to fly away. Present LEAR 8 April 2016. Detected at LOW and HIGH F2014/W15; Recaptured 8/21/15 with R PT; Grey/LG (0700EDDE6B)
0300025985,H,Detected at LOW and HIGH F2014/W15
0300019589,H,pair with red pt; grey/grey at time of first capture
0700EDD03A,H,pair with red pt; o/o at time of first capture; Detected at LOW and HIGH F2014/W15
030003735A,H,S banded as chick 2013 from box 11
03000317F8,H,S Banded as chick 2014  from box 41
0300026EA2,H,DUPLICATE COLOR CODE
0700EE0863,H,Detected at LOW and HIGH arrays F2014/W15
0700EE0384,H,KILLED LATE 2015
0700EDBA2B,H,Broken toe nail (on recap 10/30/15)
0700EE0490,H,Recap w/ Y PT; R (0700EE3FC8) 11/4/15
0700EDC61E,H,Stumpy! Removed PIT tag; new RFID 011017A7DF. Stumpy lives! PIT tag previously removed due to injury; NEW PIT placed on healthy leg and old color bands removed -- Jan 2018
0700ED87E0,H,pair w R PT; LG/R? at time of first capture
0700ED9204,H,pair w R PT; LB/R at time of first capture
03000214A1,H,DUPLICATE COLOR CODE
030003142F,H,formerly blue/g;R PT 030003142F - rebanded due to large growth on R leg
0300022A87,H,KILLED LATE 2015
0700EDDD15,H,originally banded F4H 2013 
0700EE0988,H,originally banded F4H 2013
030001E59A,H,Recaptured 8/21/15 with Black/LG;RPT (0700EE34A2)
0700EE2010,H,DUPLICATE COLOR CODE
0300023011,H,S banded 2013 as chick box 11;DUPLICATE COLOR CODE
0300027217,H,DIED;  found in nest; Egg  Bound Breeding 2018
0700EE0945,H,Adult
0300022B1E,H,Was mistakenly recorded as the female at BOX B21 H in 2016
030001A0E8,H,Detected at LOW array F2015/W16
0700EDEFA0,H,S banded as chick 2013 box 21
030002A7B9,H,S banded as chick 2013 box 11
0700EDD584,H,KILLED LATE 2015
0700EE2818,H,S banded as chick 2013 box 14
0700EDE52B,H,S banded at H (no box #) as chick 2006!!!;S not in our database!
0700EE2926,H,caught at box 38 but not breeding there
0700EE34A2,H,Adult. Caught with Blue/Grey;R PT (030001E598)
0700EE2DC4,H,Juvie
0700EDEE35,H,Juvie
0700EDDE6B,H,Adult. Caught with R PT; LB/LB (03000208C0)
0700ED8B2A,H,S banded as chick Box 14 in 2015;Juvie
0700EDCA23,H,Juvie
0700EE33B0,H,Juvie
0700EDEA8D,H,Adult
0700EE279F,H,Juvie?
0700EE32F3,H,DUPLICATE COLOR CODE. Adult
0700EDB014,H,DUPLICATE COLOR CODE. Juvie. Caught with R PT;O/LB (0700EDE6F8) 9/7/15.
0700EDC234,H,Adult
0700EDE18E,H,Juvie. Not much blood taken 9/7/15.
0700EE3795,H,Juvie
0700EDA4FD,H,Juvie
0700EDBC15,H,Juvie
0700EDB060,H,Adult. Low amounts of blood collected 9/7/15.
0700EE2A8F,H,Adult??
0700EDE6F8,H,Adult. Caught with G/Y;R PT (0700EDB014)
0700EE15A1,H,Adult
0700EE0D9E,H,Adult
0700EDD0DB,H,S banded 2015 as chick from box 13
0700EDFEDD,H,S banded as chick 2015 from box 1;Juvie
0700EDDA56,H,S banded as chick 2015 from box 24;Juvie
0700EDF72F,H,Juvie. Possible pair with Y/LB;R PT(0700EE1D05) 9/7/15.
0700EDF523,H,Juvie
0700EE1D05,H,Adult. Possible pair with Y/Black;R PT (0700EDF72F) 9/7/15.
0700EDD70A,H,KILLED LATE 2015 Adult
0700EDC317,H,Juvie; female?
0700ED8EA0,H,DUPLICATE COLOR CODE. Juvie
0700EDEF65,H,DUPLICATE COLOR CODE. Adult. Caught with S2740-25258/R;Black PT(0700EDFC56) 9/11/15.
0700EE22CA,H,Adult
0700ED8CFC,H,Juvie
0700EDFC56,H,S banded as chick 2015 from box 22-1;Juvie. Caught with O/Grey; R PT (0700EDEF65) 9/11/15.
0700EDA539,H,Juvie
0700EDE2C7,H,Juvie
0700EDE73A,H,Adult; vladimir pulled tail off 10/7/15
0700EE124B,H,Juvie; DUPLICATE COLOR CODE
0700EDDBF7,H,Juvie; DUPLICATE COLOR CODE
0700EDDC13,H,Juvie
0700EDD008,H,Juvie
0700EDB530,H,carrie pulled tail off
0700EE17A2,H,Adult
0700ED99E7,H,S banded as chick 2015 from box 32;Juvie
0700EDB0B1,H,S banded as chick 2015 from box 28;Juvie
0700EE1FD2,H,Didn't fly right away at TOIC
0700EDBF75,H,formerly duplicate R PT; Black/grey; rebanded 11/11/15
0700EDAD5E,H,DUPLICATE COLOR CODE
0700EE3FC8,H,caught with R PT;B/R (0700EE0490) at TOIC
0700EDAC35,H,Adult
0700EDAEBA,H,Juv
0700EE1AE8,H,Adult??
0700EE452C,H,juv
0700EE1435,H,Juv
0700EDF2B7,H,Adult??
0700EDAB25,H,Juv.
0700ED860D,H,Juv;
0700EDBFD5,H,Tail lost at TOIC. 
0700EDB878,H,S banded as nestling 2015 from box 33-4;Box 33-4 nestling. Re tagged 6/24/18 old PIT (0700EDB878)
0700EE39B9,H,Juv; captured with  R/Grey;Y PT (0700EE4575).  
0700EE4575,H,Adult; ÃŠcaptured with R;Y PT (0700EE39B9) at TOIC.
0700EE11BC,H,Adult
0700EDAEF6,H,Adult
0700EE1854,H,Detected at LOW F2014/W15
0700EDF3AC,H,Juv.; detected at LOW and HIGH arrays F2015/W16
0700EDF6A7,H,Juv
0700EDA4AA,H,Adult
0700ED953B,H,WAS RESIGHTED AT LEAR8 2/8/16; was subordinate to other birds at feeder. Not recorded at LEAR 8 before 1/28/16 or any other arrays before then
0700EDFFA8,H,Juv
0700EDD7F7,H,captured w BLUE PT; R/Y
0700EE1B3E,H,captured w BLUE PT; R/O
0700ED98EA,H,Juv
0700EDF0C7,H,Juv
0700EE255C,H,Juv
0700ED9E68,H,Juv
0700EDE290,H,Juv
0700EDF35B,H,Juv
0700EDDCA8,H,Juv
0700EDBB5C,H,Juv
0700EDEEA1,H,Juv
0700ED9E31,H,Juv
0700EDE244,H,Juv
0700EDFF57,H,Captured breeding in a box at LOW 
0700EE1503,H,Juv
0700EE3916,H,Juv
0700EE17A6,H,Juv
0700EE2DBB,H,Juv
0700EE0014,H,Present at LEAR8 April 2016 and detected LOW and HIGH arrays F2015/W16
0700EE026F,H,S banded 2013 as chick from box 18
011017A272,H,S banded F4H 2013;*RECAPTURED 2/12/16 at F8L! Last recorded at F3H on 1/28/16 (battery died on this day)
0700EE0369,H,Detected at LOW and HIGH arrays F2015/W16
0700ED8B71,H,Looks like was tailless but tail now growing back at TOIC.
0700EE2B53,H,Former tailless @ TOIC
0700EE0BA3,H,Feather parasites @ TOIC.
0700EDF646,H,Present at LEAR8 April 2016; Detected LOW and HIGH F2015/W16
0700EE355F,H,S banded as chick in BOX 7 H in 2014
011017A327,H,nestling @ Box 4A H 2016
0700EE0395,H,tail taken fall 2019
0700EE4300,H,tail taken 2019
011017A5AA,H,nestling @ Box 18 H 2016
0110179DFA,H,nestling @ Box 41 H 2016
0700EDE028,H,nestling @ Box 21 H 2016;feather taken fall 2019
0700EDA702,H,feather taken 2019
0700EDCB97,H,feather taken 2019
0700EDC0C6,H,feather taken 2019
0700ED9813,H,nestling @ Box 1 H 2016
0700EE32A9,H,nestling @ Box 8A H 2016
0700EE3C13,H,tail feather taken 2019
0700EDABF7,H,nestling @ Box 44 H 2016
0700EE159B,H,MISSING BAND COMBO in book; double check!
0700EDB70E,H,nestling @Box 6 H 2013
011017999B,H,nestling @ Box 1-3 H 2016
0700EDD65F,H,NEW BAND COMBO: _; BLUE PT. Injury on Left Leg; removed color bands and placed original PIT tag on uninjured right leg
0700EDD4E1,H,feather taken 2019
0700EDF308,H,Nestling @ Box B5-1 H 2016
0700EE1819,H,nestling @ Box 44 H 2016
0700EDF321,H,nestling @ Box 41 H 2016
011017A009,H,nestling @ Box 33 H 2016
0110179607,H,nestling @ Box 8A H 2015
0700EDC75C,H,"Pics and feathers taken 2018
0700EDB111,H,nestling @ Box 36 H 2016;DIED (Found egg-bound Box A15)
0700EDB721,H,nestling @ Box 43-1 H 2016
0110179E70,H,nestling @ Box 1 H 2016
0110179BAB,H,feather taken fall 2019
0700EDF46D,H,nestling @ Box 34 H 2016
011017A3DB,H,nestling @ Box 5 L 2016!; HOWEVER S2740-25642 (Box 5L) could be misread of S2740-25692 (Box B5-1H) 
0700EDC775,H,nestling @ BOX 29-1 H 2017
01101797F0,H,adult with ongoing moult
01101796B3,H,nestling @ BOX 21 H 2017
01101799DA,H,juv
0700EDB83F,H,nestling @ BOX 24 H 2017
0700EE003D,H,nestling @ BOX 21 H 2017
01101796AE,H,nestling @ BOX 24 H 2017
01101797F4,H,nestling @ BOX 7 H 2017
0700EE43A6,H,nestling @ BOX 7 H 2017
0110179FED,H,nestling @ BOX 29A H 2017
0110179588,H,nestling @ BOX 29A H 2017
0700EDCE9B,H,nestling @ BOX 29A H 2017
0700EDAEEF,H,nestling @ 5A H RENEST 2017
011017A3F5,H,juv
0110179A53,H,juv
0110179CC6,H,juv
011017A794,H,juv
011017A092,H,nestling @ BOX 34 H 2017
011017A832,H,juv
01101799F0,H,juv
0110179CCD,H,juv
011017A74B,H,nestling @ BOX 34 H 2017 ;bald spot on head
011017A83A,H,juv
011017A7DE,H,juv
011017A4B4,H,juv
0110179DD5,H,juv
0110179D52,H,feather taken 2019
0700ED870D,H,juv
0700EDF471,H,juv
011017A53C,H,juv
0700EE1410,H,juv
011017975A,H,adult
0700EE0029,H,juv
011017A131,H,juv
011017987D,H,nestling @ BOX 41 H 2016;adult
0700EDAF52,H,juv
011017A66F,H,adult
0700EDA46A,H,adult
01101799A2,H,juv
0700ED9583,H,nestling 2017 at box 64A LOW;juv
0700EDB888,H,juv
0700EE42B1,H,feather taken fall 2019
0700EDEE86,H,juv
0700EDAA45,H,nestling @ BOX 7 H 2017
011017A089,H,juv
0700ED990E,H,adult
0700EE09F8,H,juv
0700EE2A07,H,juv
0700EDB544,H,adult
0700EDD8A3,H,juv
011017A38C,H,juv
0700ED90AA,H,nestling @ BOX 22 H 2017
0700ED936A,H,juv
0700ED985B,H,adult
0700EE3F26,H,adult
0700ED9E61,H,juv
011017A126,H,juv
0700EDB2DC,H,juv
011017A362,H,juv
0700EDADD1,H,feather taken fall 2019
0700EDF205,H,juv
011017A601,H, nestling Box 4A H; 2016;adult
0700EE08CB,H,feather taken fall 2019
011017A1B1,H,feather taken fall 2019
0700EDDCB5,H,JUV
011017A0AA,H,adult
0700EDA769,H,adult
0700EE220E,H,adult
0700ED9FCD,H,JUV
011017A0F3,H,JUV
0700EDDF34,H,JUV
0110179D6B,H,ADULT
0700EDD6B2,H,JUV
011017A375,H,"ADULT
0700EE0804,H,JUV
011017A7CF,H,ADULT
0700ED9BCF,H,JUV
0700EE0933,H,JUV
0700EE4426,H,JUV
0700ED8873,H,JUV
0700ED89A6,H,JUV
0700EE31C6,H,JUV
011017A58B,H,JUV
0700EDA065,H,JUV
0700EDE00E,H,banded Box 33-1 H; 2017
0700EE33F9,H,JUV
0110179E5D,H,AD?
0110179B73,H,AD?
0700EE1132,H,JUV
0110179FA8,H,JUV
0110179CDC,H,JUV
0700EDDAA7,H,JUV
0700EE1998,H,JUV
0110179726,H,JUV
0700ED9194,H,Pics and feathers taken 2018
01101798E7,H,Nesting from Box 12H 2018;pics and feathers taken 2018
0700EE411B,H,Pics and feathers taken 2018
0700ED0584,H,Nestilng from Box 5-2H 2018;pics and feathers taken 2018
0700ED92CC,H,Pics and feathers taken 2018
0700EDE494,H,Pics and feathers taken 2018
011017A0B2,H,Nestling from Box 33-2H 2018;"Pics and feathers taken 2018
0700EE36B9,H,Tail feather collected 2018
0700EE29AB,H,no blood; tail feather collected 2018
0700EDDC12,H,"no blood; tail feather collected 2018
0700EDB504,H,no blood; tail feather collected 2018
0700EDC782,H,no blood; tail feather collected 2018
0700EDD683,H,no blood; tail feather collected 2018
0700ED9486,H,no blood; tail feather collected 2018
0700EDFC00,H,Nestling from Box 12H 2018;Tail feather collected 2018 and 2019
01101798A1,H,no blood; tail feather collected 2018
0700EDDD27,H,no blood; tail feather collected 2018
0700EDCBB7,H,no blood; tail feather collected 2018
011017A2FF,H,no blood; tail feather collected 2019
011017A764,H,no blood; tail feather collected 2019
0700ED9ACB,H,no blood; tail feather collected 2019
0700EE43AE,H,"no blood; tail feather collected 2019
0700EE242F,H,no blood; tail feather collected 2019
011017A38D,H,no blood; tail feather collected 2019
0700EDB804,H,no blood; tail feather collected 2019
0700EDDC65,H,no blood; tail feather collected 2019
011017A00E,H,"no blood; tail feather collected 2019
011016CF2B,H,no blood; tail feather collected 2019
01103F8CCB,H,no blood; tail feather collected 2019 and fall 2019
01103F6B2D,H,no blood; tail feather collected 2019
011016DAB0,H,no blood; tail feather collected 2019
01103F64A2,H,no blood; tail feather collected 2019
01103F78B9,H,no blood; tail feather collected 2019
0700ED99D6,H,Old bird. Captured without PIT (NOTHING; Y/R) Possible PIT tag failure. 
011016AA87,H,no blood; tail feather collected 2019
0110174484,H,Nestling from Box 29A H 2018; tail feather collected 2019 and Fall 2019
011016E6F6,H,no blood; tail feather collected 2019 and fall 2019
011016F8EA,H,no blood; tail feather collected 2019
011016BC93,H,no blood; tail feather collected 2019 and fall 2019
011016EC1F,H,no blood; tail feather collected 2019; odd bump/defect on bill
0110173587,H,Nestling from Box 28-2 H 2018;tail feather collected 2019
01101744BA,H,Nestling from Box 35-1A H 2018; tail feather collected 2019 and Fall 2019
011016E90A,H,no blood; tail feather collected 2019
011016D7B8,H,"no blood; tail feather collected 2019
0110172798,H,Nestling from Box 1-1 H 2018;tail feather collected 2019 and fall 2019
011016DEED,H,no blood; tail feather collected 2019
01101700D6,H,no blood; tail feather collected 2019 and Fall 2019
011016D8FB,H,check for testing;no blood; tail feather collected 2019
011016A5C0,H,no blood; tail feather collected 2019
011016AF74,H,no blood; tail feather collected 2019
011016AE4D,H,no blood; tail feather collected 2019
011016D1FB,H,no blood: tail feather collected 2019
011016BF32,H,no blood: tail feather collected 2019 and feather taken fall 2019
011016E240,H,no blood: tail feather collected 2019
011016B0B2,H,no blood; tail feather collected 2019
011016D09F,H,no blood; tail feather collected 2019
011016BF54,H,no blood; tail feather collected 2019
011016A6B4,H,no blood; tail feather collected 2019
01103F8935,H,no blood: tail feather collected 2019 and feather taken fall 2019
011016D443,H,no blood; tail feather collected 2019
0110173156,H,Nestling from Box 18A H 2018;no blood or feather
01101732B5,H,Nestling from Box 13 H 2018;feather taken 2019
011016BC94,H,no blood; tail feather collected 2019
011016DD63,H,"no blood; tail feather collected 2019
011016EAC1,H,no blood; tail feather collected 2019
011016BE84,H,no blood; tail feather collected 2019
011016C70D,H,feather taken 2019 fall
011016A45C,H,feather taken 2019
01101742EF,H,Nestling from BOX 10 H 2019;feather taken 2019
0110170406,H,Nestling from BOX B19 H 2019;feather taken 2019
0110171EAB,H,Nestling from BOX 18A H 2018;feather taken 2019
01103F3973,H,feather taken 2019
011016E4E1,H,feather taken 2019
